Time,GPU Power (W)
0.00,57.44
0.13,57.34
0.27,57.24
0.39,57.43
0.52,57.16
0.65,57.07
0.78,57.15
0.91,57.44
1.04,57.05
1.17,56.96
1.29,57.16
1.42,57.07
1.55,38.57
1.68,37.13
1.82,35.76
1.95,35.57
2.09,35.56
2.21,35.56
2.35,35.47
2.48,35.37
2.61,35.36
2.73,35.66
2.88,35.26
3.01,38.68
3.14,38.29
3.27,38.20
3.40,47.05
3.53,186.35
3.66,179.58
3.80,166.01
3.93,151.29
4.06,203.92
4.19,147.34
4.32,213.53
4.45,208.60
4.58,196.88
4.72,159.54
4.85,172.43
4.98,179.23
5.11,155.54
5.31,210.76
5.44,151.68
5.58,165.90
5.71,180.19
5.84,194.38
5.98,202.06
6.11,157.27
6.25,210.16
6.38,211.68
6.51,157.46
6.65,186.48
6.79,154.82
6.92,59.09
7.06,59.19
7.19,58.70
7.32,58.61
7.45,61.04
7.58,57.90
